epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7915.32,0.49865,0.44402,1.08581,0.91683,0.92163,0.9688,0.91201,0.34726,0.31565,0.9266,0.00935741,0.00935741,0.00935741
43,8103,0.50301,0.44821,1.08931,0.92077,0.9423,0.9701,0.91293,0.3519,0.30281,0.93143,0.00932642,0.00932642,0.00932642
44,8290.73,0.49413,0.44189,1.08316,0.91055,0.9206,0.96489,0.91184,0.34209,0.31998,0.91911,0.00929476,0.00929476,0.00929476
45,8478.31,0.4926,0.43694,1.07912,0.91424,0.93405,0.96585,0.91189,0.34477,0.2967,0.92567,0.00926242,0.00926242,0.00926242
46,8665.74,0.49139,0.44433,1.08376,0.94823,0.91264,0.96795,0.91198,0.34149,0.2869,0.92177,0.00922942,0.00922942,0.00922942
47,8853.27,0.49587,0.43292,1.08317,0.88815,0.96796,0.97318,0.92059,0.33997,0.28468,0.91583,0.00919576,0.00919576,0.00919576
48,9040.86,0.49157,0.43348,1.07645,0.92253,0.94314,0.96976,0.91271,0.34496,0.28227,0.91754,0.00916145,0.00916145,0.00916145
49,9228.5,0.48613,0.42618,1.07232,0.91469,0.9432,0.97142,0.91982,0.34418,0.2883,0.91693,0.00912649,0.00912649,0.00912649
50,9416.03,0.4826,0.42497,1.07144,0.91393,0.95187,0.97329,0.92147,0.34225,0.27855,0.91494,0.00909088,0.00909088,0.00909088
51,9603.72,0.48068,0.41388,1.0679,0.93,0.91201,0.96736,0.91843,0.33933,0.29838,0.91412,0.00905463,0.00905463,0.00905463
52,9791.07,0.48047,0.41524,1.07081,0.94523,0.91187,0.97243,0.92686,0.33325,0.28538,0.9069,0.00901776,0.00901776,0.00901776
53,9978.73,0.47946,0.4157,1.07335,0.92704,0.93193,0.97279,0.92539,0.33327,0.28415,0.90516,0.00898025,0.00898025,0.00898025
54,10166.2,0.47193,0.40381,1.06158,0.91183,0.94827,0.97366,0.92436,0.33654,0.28491,0.90935,0.00894213,0.00894213,0.00894213
55,10353.8,0.476,0.40897,1.06771,0.93521,0.9538,0.97726,0.92761,0.33698,0.2736,0.91348,0.00890339,0.00890339,0.00890339
56,10541.3,0.4711,0.40015,1.06251,0.9235,0.95383,0.97796,0.92632,0.33223,0.27419,0.91057,0.00886404,0.00886404,0.00886404
57,10728.8,0.47104,0.40736,1.0637,0.94904,0.92201,0.97728,0.92856,0.33127,0.26915,0.90811,0.00882409,0.00882409,0.00882409
58,10916.4,0.4707,0.39861,1.06235,0.9231,0.9515,0.9777,0.92847,0.33216,0.27002,0.91018,0.00878354,0.00878354,0.00878354
59,11103.9,0.46563,0.39471,1.05665,0.94166,0.93095,0.9746,0.92379,0.3317,0.26669,0.90881,0.00874241,0.00874241,0.00874241
60,11291.4,0.46724,0.39774,1.05975,0.94536,0.92947,0.97571,0.92767,0.32891,0.26293,0.91169,0.00870069,0.00870069,0.00870069
61,11478.9,0.46048,0.39053,1.05708,0.9462,0.92271,0.97369,0.9267,0.32788,0.27387,0.90939,0.00865839,0.00865839,0.00865839
62,11666.2,0.46496,0.39154,1.05518,0.94555,0.92387,0.97382,0.92566,0.3257,0.28037,0.90972,0.00861553,0.00861553,0.00861553
63,11853.7,0.45883,0.38188,1.05389,0.90378,0.96163,0.97488,0.92817,0.32124,0.28162,0.90216,0.0085721,0.0085721,0.0085721
