epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2765,1.02611,1.53,1.3542,0.56477,0.53663,0.59344,0.3645,1.01098,1.36346,1.30833,0.000414562,0.000414562,0.000414562
2,39.5968,1.104,1.2057,1.38639,0.43093,0.44351,0.42009,0.27772,1.15284,1.55622,1.39972,0.000823,0.000823,0.000823
3,57.7098,1.12476,1.20766,1.40128,0.59502,0.64467,0.62537,0.43955,1.08673,1.21856,1.41914,0.00122319,0.00122319,0.00122319
4,75.8012,1.1298,1.19084,1.42198,0.62767,0.53768,0.5471,0.35622,1.16131,1.28753,1.40387,0.00121287,0.00121287,0.00121287
5,93.7637,1.11451,1.1698,1.40277,0.46144,0.61395,0.50318,0.32311,1.21033,1.19815,1.40684,0.0012005,0.0012005,0.0012005
6,111.71,1.04697,1.07167,1.3763,0.62089,0.58421,0.60916,0.403,1.05083,1.17629,1.31399,0.00118812,0.00118812,0.00118812
7,129.693,1.02832,1.03905,1.33843,0.70855,0.69877,0.7499,0.50014,0.86332,1.12009,1.2121,0.00117575,0.00117575,0.00117575
8,147.823,0.98675,0.9599,1.31025,0.58825,0.68434,0.6867,0.49942,0.91275,0.9302,1.23416,0.00116337,0.00116337,0.00116337
9,165.821,1.00321,0.96743,1.32118,0.85053,0.64519,0.75946,0.54933,0.82481,0.87242,1.14373,0.001151,0.001151,0.001151
10,183.91,0.91712,0.90597,1.26047,0.75059,0.68672,0.74737,0.52366,0.78905,0.92386,1.12142,0.00113863,0.00113863,0.00113863
11,202.042,0.91112,0.85951,1.24889,0.72439,0.69091,0.77923,0.58494,0.71022,0.71184,1.08203,0.00112625,0.00112625,0.00112625
12,220.126,0.89096,0.8706,1.24741,0.67337,0.67949,0.69842,0.54831,0.79151,0.87579,1.15385,0.00111388,0.00111388,0.00111388
13,238.283,0.88608,0.80634,1.24137,0.69017,0.65998,0.72427,0.53739,0.70134,0.75728,1.088,0.0011015,0.0011015,0.0011015
14,256.298,0.88756,0.82746,1.2532,0.85405,0.60392,0.69895,0.53591,0.69357,0.77553,1.07049,0.00108913,0.00108913,0.00108913
15,274.337,0.84584,0.7813,1.21866,0.76978,0.75994,0.80107,0.59031,0.72636,0.7293,1.08072,0.00107675,0.00107675,0.00107675
16,292.456,0.83241,0.78282,1.2057,0.7129,0.67408,0.74656,0.57218,0.80429,0.82953,1.12724,0.00106437,0.00106437,0.00106437
17,310.381,0.82887,0.7179,1.1999,0.78072,0.79963,0.81564,0.62341,0.71154,0.6461,1.08053,0.001052,0.001052,0.001052
18,328.556,0.8138,0.72581,1.1966,0.81879,0.72177,0.79218,0.61572,0.654,0.76932,1.06194,0.00103962,0.00103962,0.00103962
19,346.511,0.78872,0.70547,1.1789,0.87783,0.778,0.84455,0.68105,0.60874,0.64918,1.0116,0.00102725,0.00102725,0.00102725
20,364.671,0.78104,0.72226,1.17742,0.85472,0.78946,0.83216,0.66247,0.59053,0.64002,1.00334,0.00101488,0.00101488,0.00101488
21,382.707,0.77986,0.71153,1.18344,0.8455,0.82585,0.85021,0.66786,0.64834,0.68779,1.02515,0.0010025,0.0010025,0.0010025
22,400.744,0.77152,0.68818,1.1683,0.81216,0.74451,0.7824,0.63815,0.60824,0.7004,1.00112,0.000990125,0.000990125,0.000990125
23,418.767,0.74482,0.64532,1.14731,0.68604,0.78661,0.7509,0.5987,0.59411,0.71377,1.00946,0.00097775,0.00097775,0.00097775
24,436.832,0.76898,0.65667,1.15958,0.77291,0.78983,0.81641,0.62134,0.78004,0.75231,1.10139,0.000965375,0.000965375,0.000965375
25,455.085,0.76033,0.66971,1.15841,0.79467,0.79548,0.8431,0.67491,0.60971,0.62843,0.99708,0.000953,0.000953,0.000953
26,473.107,0.74524,0.65024,1.14712,0.84532,0.70797,0.80801,0.63798,0.56697,0.65407,0.9792,0.000940625,0.000940625,0.000940625
27,491.155,0.72467,0.62318,1.13557,0.84988,0.85631,0.85611,0.66093,0.61567,0.59669,1.02621,0.00092825,0.00092825,0.00092825
28,509.161,0.72672,0.63254,1.13841,0.79723,0.79946,0.83888,0.63128,0.5721,0.6152,0.99104,0.000915875,0.000915875,0.000915875
29,527.337,0.71271,0.60912,1.12772,0.7955,0.83033,0.80004,0.62934,0.56533,0.59434,0.96883,0.0009035,0.0009035,0.0009035
30,545.342,0.70421,0.59966,1.12526,0.80333,0.72278,0.78088,0.62383,0.62731,0.65513,1.0346,0.000891125,0.000891125,0.000891125
31,563.342,0.70458,0.59281,1.12208,0.83967,0.73589,0.8279,0.64542,0.58803,0.55626,0.99749,0.00087875,0.00087875,0.00087875
32,581.374,0.70455,0.58621,1.13321,0.87259,0.71527,0.8101,0.65502,0.56772,0.71171,1.00406,0.000866375,0.000866375,0.000866375
33,599.381,0.68657,0.58892,1.10741,0.89204,0.83444,0.87656,0.67873,0.60196,0.59474,1.00394,0.000854,0.000854,0.000854
34,617.554,0.67727,0.58004,1.10475,0.8057,0.80547,0.86864,0.71176,0.56027,0.55891,0.97171,0.000841625,0.000841625,0.000841625
35,635.675,0.6822,0.56073,1.10462,0.72534,0.76009,0.77694,0.63834,0.5853,0.63447,0.99738,0.00082925,0.00082925,0.00082925
36,653.731,0.67915,0.56604,1.10995,0.76336,0.77877,0.79701,0.63597,0.59256,0.59684,1.00619,0.000816875,0.000816875,0.000816875
37,671.869,0.662,0.54864,1.10178,0.8944,0.79067,0.87323,0.68314,0.56388,0.60555,0.98195,0.0008045,0.0008045,0.0008045
38,690.005,0.66603,0.54771,1.09539,0.85593,0.71277,0.81954,0.67573,0.52141,0.57657,0.96159,0.000792125,0.000792125,0.000792125
39,708.07,0.65769,0.53505,1.08941,0.8906,0.83959,0.87973,0.6926,0.58999,0.55646,0.99442,0.00077975,0.00077975,0.00077975
40,726.195,0.65424,0.54688,1.0962,0.83684,0.8135,0.86056,0.68708,0.55874,0.62918,0.97851,0.000767375,0.000767375,0.000767375
41,744.381,0.64828,0.54033,1.09583,0.86485,0.82278,0.86075,0.68063,0.57848,0.55908,0.9871,0.000755,0.000755,0.000755
42,762.488,0.63254,0.51107,1.07444,0.8204,0.73162,0.78601,0.62381,0.58587,0.64855,1.00118,0.000742625,0.000742625,0.000742625
