epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3157,1.06827,1.87692,1.41793,0.75414,0.74823,0.79815,0.50166,1.3282,1.05147,1.42829,0.0033195,0.0033195,0.0033195
2,132.362,0.89625,0.98881,1.25803,0.69195,0.68555,0.72119,0.56286,0.75174,1.21991,1.1621,0.00665265,0.00665265,0.00665265
3,197.276,0.96045,1.08019,1.30931,0.59298,0.52682,0.56501,0.38539,1.07629,1.68099,1.45426,0.00998508,0.00998508,0.00998508
4,262.353,1.0395,1.20305,1.37409,0.61019,0.5955,0.62027,0.41472,1.16095,1.51266,1.54252,0.00999756,0.00999756,0.00999756
5,327.359,0.97469,1.07074,1.3188,0.58679,0.65133,0.66469,0.4607,1.04496,1.2761,1.40092,0.00999566,0.00999566,0.00999566
6,392.409,0.91631,0.97311,1.28115,0.77704,0.77014,0.81659,0.64624,0.71928,0.8428,1.15452,0.00999322,0.00999322,0.00999322
7,457.405,0.87928,0.90096,1.24893,0.81608,0.81581,0.85903,0.70614,0.66601,0.74322,1.11312,0.00999023,0.00999023,0.00999023
8,522.323,0.8489,0.84861,1.23305,0.82364,0.82069,0.88265,0.73087,0.66437,0.70563,1.09864,0.00998671,0.00998671,0.00998671
9,587.348,0.82748,0.80573,1.21565,0.80655,0.83935,0.8774,0.7261,0.6526,0.68582,1.08213,0.00998264,0.00998264,0.00998264
10,652.322,0.80319,0.77098,1.1974,0.81303,0.83234,0.87853,0.74062,0.60818,0.67202,1.05448,0.00997803,0.00997803,0.00997803
11,717.405,0.78894,0.75313,1.18823,0.81674,0.86073,0.88383,0.74888,0.59693,0.62872,1.05218,0.00997288,0.00997288,0.00997288
12,782.402,0.77495,0.72627,1.1779,0.83166,0.83874,0.88723,0.75472,0.59765,0.65547,1.04563,0.0099672,0.0099672,0.0099672
13,847.508,0.76019,0.70386,1.16957,0.81454,0.82014,0.87503,0.74999,0.58283,0.65728,1.04965,0.00996097,0.00996097,0.00996097
14,912.508,0.74651,0.68043,1.15714,0.84758,0.83133,0.89795,0.77374,0.5803,0.60694,1.03572,0.0099542,0.0099542,0.0099542
15,977.582,0.73539,0.66302,1.14996,0.85878,0.84215,0.90843,0.78143,0.5606,0.56902,1.01488,0.0099469,0.0099469,0.0099469
16,1042.56,0.72613,0.64783,1.14324,0.86991,0.83904,0.89712,0.77511,0.55566,0.58358,1.02115,0.00993906,0.00993906,0.00993906
17,1107.59,0.71955,0.63942,1.14082,0.85619,0.86993,0.90428,0.79172,0.53277,0.55898,1.004,0.00993068,0.00993068,0.00993068
18,1172.54,0.7031,0.61815,1.1296,0.83643,0.87722,0.9059,0.78985,0.54034,0.56254,1.01831,0.00992177,0.00992177,0.00992177
19,1237.42,0.69713,0.60928,1.12758,0.84819,0.8454,0.89724,0.77894,0.54,0.57133,1.02251,0.00991232,0.00991232,0.00991232
20,1302.51,0.6918,0.60175,1.12101,0.85181,0.87087,0.91103,0.80225,0.51493,0.53948,0.98752,0.00990234,0.00990234,0.00990234
21,1367.56,0.68318,0.59312,1.11643,0.85152,0.86916,0.90281,0.79185,0.52226,0.56195,0.9966,0.00989183,0.00989183,0.00989183
22,1432.77,0.67386,0.57903,1.11062,0.84605,0.8899,0.91102,0.80442,0.51021,0.54165,0.98941,0.00988079,0.00988079,0.00988079
